fuel_type,accidents,luxury_brand,engine_size,automatic_transmission,car_age,mileage_status,external_color,internal_color,metallic_color,price
Gasoline,Yes,Yes,3,Yes,12,low,Black,Beige,No,36880
Gasoline,No,No,5.3,Yes,3,above_expected,Black,Black,No,43147
Gasoline,Yes,No,2,Yes,7,low,Black,Black,No,29000
Gasoline,No,No,3.5,Yes,8,high,Black,Black,No,17500
Gasoline,No,Yes,3.6,Yes,7,high,White,Black,No,30990
Gasoline,Yes,Yes,4,Yes,7,avg,Gray,Black,No,52500
Gasoline,Yes,No,2.4,Yes,8,avg,Other,Black,Yes,20848
Gasoline,No,No,6,Yes,19,low,Gray,Black,No,19500
Gasoline,No,Yes,3.8,Yes,11,low,Blue,Black,No,73000
Gasoline,No,Yes,2,Yes,8,above_expected,Black,Black,No,19800
Gasoline,No,No,3.5,Yes,15,avg,Blue,Black,No,7500
Gasoline,No,No,1.5,Yes,1,verylow,Blue,Gray,No,30999
Gasoline,No,Yes,2,Yes,14,low,Silver,Black,No,6500
Gasoline,No,No,5,No,10,low,Black,Black,No,28500
Gasoline,No,Yes,3.7,Yes,14,avg,Blue,Beige,No,10995
Hybrid,No,Yes,2,Yes,6,low,Black,Black,No,42000
Gasoline,No,Yes,5.2,Yes,6,verylow,Red,Black,Yes,144900
Gasoline,Yes,Yes,3.5,Yes,10,above_expected,Black,Beige,No,10000
Gasoline,No,No,2,Yes,3,low,Other,Other_Colored,No,23998
Gasoline,No,Yes,3.5,Yes,10,high,Black,Black,No,21000
Hybrid,No,Yes,3,Yes,1,avg,Gray,Beige,No,67900
Gasoline,No,Yes,3,Yes,5,low,White,Other_Colored,No,69998
Gasoline,No,No,2,Yes,1,low,White,Beige,No,46900
Electric,No,No,,Yes,2,verylow,Red,Black,No,99000
Gasoline,No,Yes,2,Yes,5,avg,Black,Black,No,31000
Gasoline,Yes,No,6.1,Yes,18,verylow,Silver,Black,No,19995
Gasoline,No,Yes,6,Yes,7,verylow,White,Other_Colored,No,130000
Gasoline,No,Yes,3,Yes,5,high,Black,Other_Colored,No,55999
Gasoline,No,No,1.6,No,1,verylow,Silver,Gray,No,49950
Gasoline,Yes,Yes,2.9,Yes,5,low,Black,Black,No,59950
Gasoline,No,Yes,3,Yes,5,high,Black,Black,No,42499
Gasoline,No,Yes,5.2,Yes,1,verylow,Other,Other_Colored,No,359991
Gasoline,No,Yes,3,Yes,5,low,Black,Black,No,44999
Gasoline,Yes,Yes,3,Yes,7,avg,Red,Black,No,30000
Gasoline,No,Yes,3.3,Yes,19,verylow,White,Beige,No,11100
Gasoline,No,Yes,2,Yes,4,low,White,Black,No,37998
Gasoline,No,Yes,3.4,Yes,9,verylow,Silver,Other_Colored,No,72000
Gasoline,No,No,3.3,Yes,3,verylow,Silver,Other_Colored,No,53950
Gasoline,No,No,2,No,1,verylow,White,Black,No,47999
Hybrid,Yes,No,2.4,Yes,9,avg,White,Gray,No,15900
Gasoline,Yes,Yes,4,Yes,10,low,Gray,Black,No,45000
Gasoline,No,Yes,3,Yes,12,avg,Black,Black,No,18500
Hybrid,Yes,Yes,3,Yes,4,low,Black,Black,No,80000
Gasoline,No,Yes,4.4,Yes,8,verylow,White,Black,No,55000
Gasoline,No,No,2.5,No,20,high,Other,Beige,No,2300
Gasoline,No,No,2,No,1,low,White,Black,No,34000
Hybrid,No,No,1.6,Yes,2,above_expected,Blue,Black,No,31995
Electric,No,No,,Yes,1,verylow,White,Other_Colored,No,92000
Gasoline,No,Yes,5.2,Yes,3,verylow,Black,Black,No,279950
Gasoline,Yes,Yes,2,Yes,6,low,Red,Black,No,29900
Gasoline,No,Yes,3,Yes,8,avg,White,Beige,No,24950
Gasoline,No,No,5.7,Yes,4,avg,Other,Black,Yes,39366
Gasoline,No,Yes,3.5,Yes,9,low,Other,Other_Colored,No,32900
Gasoline,No,Yes,2.5,Yes,19,low,Black,Black,No,8900
Gasoline,Yes,No,1.8,No,21,low,Other,Beige,No,4995
Gasoline,No,No,6.2,Yes,1,verylow,Other,Gray,Yes,104900
Gasoline,No,No,3.6,Yes,12,avg,Black,Black,No,7900
Gasoline,No,Yes,5,Yes,4,avg,Silver,Other_Colored,No,75950
Hybrid,No,Yes,1.5,Yes,5,avg,White,Black,No,86000
Hybrid,No,Yes,2.5,Yes,11,avg,Other,Beige,No,17995
Gasoline,Yes,No,3,Yes,2,verylow,White,Black,No,55655
Gasoline,No,Yes,2,Yes,4,avg,Blue,Black,Yes,39998
Gasoline,Yes,No,4.3,Yes,10,above_expected,White,Gray,No,14500
Gasoline,No,No,3.6,Yes,2,above_expected,Other,Black,No,47500
Gasoline,No,Yes,2,Yes,10,low,White,Beige,No,27000
Gasoline,Yes,Yes,3,Yes,8,above_expected,Black,Black,No,18000
Gasoline,No,No,2,Yes,5,avg,Blue,Other_Colored,No,28900
Gasoline,No,Yes,4.4,Yes,3,low,Black,Black,No,73998
Gasoline,No,Yes,6.75,Yes,19,verylow,White,Beige,No,47350
Gasoline,No,No,3,Yes,4,high,Gray,Other_Colored,No,47698
Gasoline,No,Yes,5.5,Yes,8,avg,Black,Beige,No,36500
Gasoline,No,No,3.6,Yes,3,above_expected,White,Black,No,32662
Other,Yes,No,3.7,Yes,11,avg,White,Black,No,6600
Gasoline,No,Yes,2,Yes,13,avg,Red,Beige,No,9995
Gasoline,No,No,3.8,Yes,14,verylow,White,Black,No,69500
Gasoline,Yes,Yes,,Yes,6,above_expected,White,Black,No,30775
Gasoline,Yes,No,1.8,Yes,14,low,Red,Gray,No,9995
Electric,No,No,,Yes,1,verylow,Other,Other_Colored,No,94000
Gasoline,No,Yes,2,Yes,2,low,White,Black,No,44798
Hybrid,Yes,Yes,3,Yes,8,high,White,Other_Colored,No,23000
Other,No,No,5.3,Yes,13,avg,White,Other_Colored,No,22495
Hybrid,Yes,Yes,3.5,Yes,8,low,White,Black,No,28998
Hybrid,No,Yes,3,Yes,4,low,Gray,Black,No,49998
Gasoline,No,Yes,3,Yes,9,high,Black,Black,No,9995
Electric,No,No,,Yes,1,verylow,Black,Gray,No,86900
Other,No,No,,Yes,7,high,Silver,Black,No,9000
Gasoline,No,Yes,2,Yes,12,low,White,Black,No,25999
Gasoline,No,Yes,4.4,Yes,9,low,Black,Black,No,30000
Gasoline,No,No,2.5,Yes,3,above_expected,Black,Black,Yes,27899
Gasoline,No,Yes,4,Yes,8,avg,Black,Black,No,40000
Gasoline,Yes,Yes,4.4,Yes,18,avg,Red,Beige,No,9950
Gasoline,No,Yes,3,Yes,5,avg,Gray,Black,Yes,53998
Gasoline,No,No,2.5,Yes,9,above_expected,White,Black,No,9888
Gasoline,No,Yes,5.7,Yes,3,avg,White,Black,No,89999
Gasoline,No,Yes,3.8,No,11,verylow,Black,Black,No,86900
Gasoline,No,No,5.7,Yes,18,high,Red,Gray,No,12990
Gasoline,Yes,No,5.6,Yes,3,above_expected,Silver,Black,No,36500
Gasoline,Yes,Yes,2.7,Yes,10,avg,Red,Black,No,42999
Hybrid,No,Yes,3,Yes,2,high,Gray,Black,Yes,63998
Gasoline,Yes,No,5.3,Yes,18,low,White,Gray,No,12000
Gasoline,No,Yes,4.4,Yes,11,avg,Blue,Other_Colored,No,32000
Gasoline,No,No,2,Yes,1,verylow,Black,Black,No,34599
Gasoline,No,No,3.8,Yes,19,low,Black,Black,No,12500
Gasoline,Yes,Yes,2,Yes,9,avg,Other,Black,No,22800
Gasoline,No,Yes,4,Yes,7,avg,Gray,Gray,No,39999
Gasoline,No,No,3.6,Yes,13,avg,Silver,Gray,No,7500
Gasoline,No,Yes,2,Yes,4,low,White,Other_Colored,Yes,35645
Gasoline,No,Yes,6.3,Yes,8,verylow,Black,Beige,No,149900
Gasoline,Yes,No,5,Yes,7,low,Black,Beige,No,23950
Other,No,No,5.4,Yes,11,above_expected,Black,Gray,No,12500
Electric,No,Yes,,Yes,2,low,Black,Other_Colored,No,47000
Gasoline,No,No,4,Yes,2,above_expected,Silver,Gray,No,36999
Gasoline,No,No,2.5,Yes,4,avg,Black,Gray,No,24000
Gasoline,Yes,Yes,3.6,Yes,12,low,White,Other_Colored,No,26000
Gasoline,Yes,No,4,Yes,16,high,Silver,Gray,No,8500
Diesel,No,No,6.7,Yes,5,high,Black,Black,No,65000
Gasoline,No,No,2.4,Yes,2,low,Red,Black,No,30990
Gasoline,No,No,4.6,Yes,14,low,White,Gray,No,10499
Gasoline,No,No,4.5,Yes,27,avg,White,Beige,No,26500
Gasoline,No,No,3.8,Yes,4,low,White,Black,No,114000
Gasoline,No,Yes,2.4,Yes,1,verylow,Black,Black,No,51998
Gasoline,No,Yes,2,Yes,3,above_expected,Blue,Black,No,36499
Gasoline,No,Yes,4.7,Yes,25,verylow,White,Beige,No,25000
Gasoline,No,No,1.5,Yes,2,above_expected,White,Black,No,27785
Gasoline,Yes,No,2.5,Yes,12,high,White,Gray,No,7000
Gasoline,Yes,Yes,4.6,Yes,10,high,White,Beige,No,30000
Gasoline,No,No,3.5,Yes,5,avg,White,Other_Colored,No,45500
Gasoline,No,No,3.6,Yes,14,low,Other,Beige,No,8950
Gasoline,No,Yes,4,Yes,1,verylow,Gray,Black,Yes,128900
Gasoline,No,Yes,2,Yes,9,avg,White,Beige,No,17000
Gasoline,No,No,2,Yes,1,low,Black,Black,No,42850
Gasoline,No,No,1.3,Yes,3,avg,Blue,Black,Yes,22999
Gasoline,Yes,No,2.5,Yes,11,above_expected,Silver,Black,No,7100
Hybrid,No,No,2,Yes,10,avg,Blue,Beige,No,15500
Other,No,No,3.7,Yes,6,above_expected,White,Gray,No,43000
Gasoline,No,Yes,3.8,Yes,6,verylow,Black,Black,No,417500
Gasoline,Yes,No,2.3,Yes,3,avg,Gray,Black,No,39951
Gasoline,Yes,Yes,3.2,Yes,13,avg,Blue,Beige,No,11500
Other,Yes,No,5.3,Yes,11,avg,Silver,Black,No,27499
Gasoline,No,Yes,2.5,Yes,6,low,Gray,Gray,No,76000
Gasoline,No,No,5.4,Yes,16,low,Black,Black,No,10900
Gasoline,Yes,No,2,Yes,14,avg,Blue,Other_Colored,No,6250
Gasoline,Yes,Yes,3,Yes,8,avg,Black,Black,No,24700
Gasoline,No,No,2,No,12,verylow,Black,Black,No,34999
Electric,No,Yes,,Yes,1,verylow,Black,Other_Colored,No,60000
Gasoline,No,Yes,6,Yes,8,above_expected,White,Beige,No,63500
Gasoline,No,No,3.8,Yes,7,low,Other,Other_Colored,No,149500
Gasoline,No,Yes,4.7,Yes,6,high,Black,Gray,Yes,44798
Gasoline,No,No,3.6,Yes,5,high,Silver,Black,Yes,34562
Gasoline,Yes,No,2.5,Yes,3,above_expected,Silver,Black,Yes,32541
Gasoline,No,No,3.5,Yes,2,high,White,Beige,No,65900
Gasoline,No,No,5.6,Yes,4,verylow,Black,Black,No,47214
Gasoline,No,Yes,5.7,Yes,5,low,Black,Beige,No,76900
Gasoline,No,No,3.6,Yes,4,high,White,Black,No,35800
Diesel,Yes,Yes,3,Yes,10,low,Black,Black,No,54999
Gasoline,No,Yes,3,Yes,20,avg,Black,Beige,No,6730
Gasoline,Yes,No,1.5,Yes,6,high,Blue,Black,No,14950
Gasoline,No,No,2,Yes,9,high,Other,Beige,No,12000
Gasoline,No,No,5.4,No,19,verylow,White,Other_Colored,No,429998
Gasoline,No,No,5,Yes,7,low,White,Beige,No,33600
Gasoline,No,Yes,5,Yes,2,verylow,Other,Other_Colored,No,99950
Gasoline,No,No,5.8,No,10,verylow,Black,Black,No,61900
Gasoline,No,No,2.4,Yes,16,verylow,Silver,Other_Colored,No,18500
Gasoline,No,Yes,4,Yes,2,low,Gray,Black,Yes,119900
Gasoline,No,No,5.7,Yes,8,low,Silver,Black,No,65998
Gasoline,Yes,Yes,4.6,Yes,11,high,Black,Black,No,36000
Gasoline,No,Yes,3.8,No,19,verylow,Silver,Black,No,63500
Gasoline,No,Yes,2,Yes,6,avg,White,Black,No,32000
Gasoline,No,No,3.5,Yes,16,avg,Blue,Beige,No,3900
Gasoline,Yes,Yes,3,Yes,6,low,White,Beige,No,31750
Gasoline,No,No,2.2,No,16,low,Black,Black,No,28500
Gasoline,No,Yes,1.5,No,1,low,Blue,Other_Colored,No,34998
Gasoline,No,No,6.8,Yes,23,low,Other,Beige,No,12749
Gasoline,No,Yes,5,Yes,20,verylow,White,Gray,No,18853
Gasoline,Yes,Yes,5.5,Yes,17,avg,Silver,Black,No,104999
Gasoline,No,Yes,3.5,No,17,verylow,Gray,Black,No,16900
Gasoline,No,No,2,No,8,high,Silver,Black,No,14500
Gasoline,No,No,6.4,Yes,2,verylow,Other,Black,No,53900
Gasoline,Yes,No,3.5,Yes,5,high,Black,Black,No,47999
Gasoline,No,Yes,3,Yes,9,verylow,White,Other_Colored,No,24900
Electric,No,Yes,,Yes,1,avg,Black,Black,No,93999
Gasoline,No,Yes,5.5,Yes,6,avg,Gray,Black,No,108900
Gasoline,No,No,3.5,Yes,6,above_expected,Silver,Black,Yes,34998
Gasoline,No,No,3.6,Yes,12,high,Black,Gray,No,5000
Gasoline,No,Yes,8,Yes,13,verylow,White,Other_Colored,No,1950995
Gasoline,Yes,No,3.5,Yes,4,above_expected,Black,Black,Yes,34084
Gasoline,No,No,2,Yes,8,high,Black,Black,No,15599
Gasoline,No,No,3.6,Yes,7,avg,Black,Black,No,31331
Gasoline,No,Yes,4.2,Yes,16,avg,Black,Black,No,9900
Gasoline,No,Yes,2,Yes,9,avg,Other,Beige,No,14500
Gasoline,No,Yes,4.4,Yes,8,low,Other,Black,No,36800
Electric,No,No,,Yes,3,low,Gray,Black,No,35999
Gasoline,Yes,Yes,3,Yes,8,avg,Black,Other_Colored,No,35000
Gasoline,No,Yes,3.4,Yes,10,verylow,Black,Black,No,49750
Hybrid,No,No,2.5,Yes,3,verylow,Silver,Beige,No,49000
Gasoline,No,No,4.6,Yes,16,low,White,Beige,No,10500
Gasoline,No,No,3.6,Yes,8,verylow,Red,Beige,No,17999
Gasoline,No,No,5.3,Yes,8,high,Gray,Black,No,27995
Gasoline,No,Yes,3.7,Yes,15,high,Blue,Beige,No,8750
Gasoline,No,No,3.5,Yes,1,above_expected,Black,Black,No,78499
Gasoline,Yes,No,3.6,Yes,6,avg,Silver,Black,No,20850
Gasoline,No,No,5.6,Yes,7,low,Black,Gray,No,41000
Gasoline,No,Yes,3,Yes,5,low,Silver,Black,No,53800
Gasoline,Yes,No,5.7,Yes,16,high,Black,Beige,No,37900
Gasoline,No,No,5.7,Yes,8,avg,White,Black,No,63500
Gasoline,No,No,3.6,Yes,8,low,Black,Gray,No,65000
Gasoline,No,Yes,5,Yes,17,verylow,Other,Other_Colored,No,100000
Gasoline,No,No,3.5,Yes,13,low,Black,Black,No,8995
Electric,No,Yes,,Yes,1,avg,Gray,Beige,No,105500
Gasoline,No,Yes,5.2,Yes,1,verylow,Other,Other_Colored,No,359991
Gasoline,No,Yes,2.9,Yes,2,verylow,Other,Black,No,75900
Gasoline,No,No,1.2,Yes,3,above_expected,Blue,Black,Yes,23995
Other,No,No,,Yes,31,avg,White,Gray,No,29500
Gasoline,No,Yes,4,Yes,3,low,Black,Other_Colored,No,257000
Gasoline,Yes,Yes,3.7,Yes,11,low,White,Beige,No,15000
Gasoline,No,Yes,3,Yes,7,avg,Black,Black,No,33950
Gasoline,No,No,3.5,Yes,2,high,Other,Black,Yes,47498
Gasoline,No,No,5.6,Yes,2,avg,White,Black,No,50998
Hybrid,No,Yes,2,Yes,1,verylow,Black,Other_Colored,No,42998
Gasoline,No,No,5.2,Yes,2,verylow,Gray,Black,No,94999
Gasoline,No,No,3.5,Yes,5,high,Silver,Beige,No,46995
Electric,No,Yes,,Yes,2,avg,White,Beige,No,62479
Gasoline,No,No,5.7,Yes,2,avg,Blue,Black,Yes,47995
Gasoline,No,No,4.6,Yes,20,verylow,Black,Black,No,14900
Gasoline,No,Yes,2,No,2,avg,Silver,Black,Yes,39998
Hybrid,No,No,2.5,Yes,2,avg,Black,Black,No,29999
Gasoline,No,No,2.4,No,21,high,Black,Gray,No,3900
Gasoline,No,Yes,4.7,Yes,10,avg,Gray,Beige,No,26000
Gasoline,Yes,No,2,No,17,low,Red,Other_Colored,No,11000
Gasoline,No,Yes,2,Yes,5,verylow,Gray,Black,No,63000
Gasoline,No,No,3.7,Yes,9,above_expected,Silver,Gray,No,22500
Gasoline,No,No,2,Yes,7,high,Black,Black,No,18688
Gasoline,No,Yes,3.7,No,14,avg,White,Gray,No,16500
Gasoline,No,No,5.6,Yes,5,high,Red,Gray,No,27900
Hybrid,No,Yes,2.9,Yes,3,low,Gray,Black,No,77500
Gasoline,No,Yes,3,Yes,5,low,White,Black,No,43998
Diesel,No,No,2,Yes,4,avg,Black,Black,No,68000
Gasoline,No,Yes,3.7,Yes,10,avg,Black,Black,No,19995
Gasoline,No,No,3.6,Yes,2,low,White,Black,No,54000
Gasoline,Yes,No,3.5,Yes,14,high,Black,Black,No,5900
Gasoline,No,Yes,3,No,4,low,Red,Black,No,134999
Gasoline,Yes,Yes,3,Yes,6,high,Gray,Black,No,34250
Gasoline,Yes,Yes,2.7,Yes,10,low,Blue,Beige,No,37000
Gasoline,No,Yes,3.7,Yes,13,high,White,Gray,No,12000
Gasoline,Yes,No,2,Yes,6,low,White,Black,No,32000
Gasoline,Yes,No,2,Yes,1,above_expected,White,Black,No,24500
Gasoline,No,Yes,4.4,Yes,4,verylow,Gray,Black,Yes,96998
Gasoline,No,No,2,Yes,5,avg,Red,Other_Colored,Yes,26545
Hybrid,No,Yes,1.5,Yes,9,verylow,White,Other_Colored,No,86999
Gasoline,No,No,3.5,Yes,3,above_expected,Blue,Black,No,34645
Gasoline,No,No,2.5,Yes,1,verylow,Other,Black,Yes,28535
Gasoline,Yes,Yes,3.6,Yes,6,avg,White,Black,No,43550
Gasoline,No,No,3,Yes,7,low,Blue,Beige,No,27500
Electric,No,Yes,,Yes,3,avg,White,Black,No,31000
Gasoline,Yes,Yes,2.5,Yes,5,verylow,Red,Black,No,69000
Gasoline,No,No,6,Yes,19,avg,Red,Black,No,16000
Gasoline,Yes,Yes,2,No,22,low,Other,Beige,No,8500
Gasoline,No,Yes,3.9,Yes,3,verylow,Blue,Beige,No,275000
Gasoline,No,Yes,3.4,No,17,verylow,Black,Black,No,45000
Gasoline,No,Yes,6.8,Yes,11,verylow,Other,Other_Colored,No,488880
Gasoline,No,Yes,4,Yes,2,above_expected,Red,Black,Yes,74900
Hybrid,No,Yes,4,Yes,2,verylow,Black,Black,No,144664
Gasoline,No,No,3.5,Yes,3,low,White,Beige,No,38500
Gasoline,No,Yes,5,Yes,19,verylow,Silver,Black,No,12995
Gasoline,Yes,Yes,4.7,Yes,20,avg,White,Beige,No,10000
Gasoline,No,Yes,2,Yes,9,low,White,Black,No,27000
Gasoline,Yes,No,3.7,Yes,17,above_expected,Silver,Gray,No,6000
Gasoline,No,Yes,3,Yes,4,low,Other,Other_Colored,No,52645
Gasoline,No,Yes,2,Yes,4,low,White,Other_Colored,No,35998
Gasoline,No,Yes,4,Yes,3,verylow,Other,Other_Colored,No,159500
Gasoline,No,Yes,2,Yes,2,low,Black,Black,Yes,33610
Gasoline,Yes,No,2.3,Yes,4,above_expected,Gray,Black,No,28616
Gasoline,No,Yes,4,Yes,6,high,White,Black,No,46900
Gasoline,No,No,2.4,No,1,low,Black,Black,No,29990
Gasoline,No,Yes,3,Yes,8,low,Black,Black,No,28499
Gasoline,Yes,No,3.3,Yes,4,above_expected,Black,Other_Colored,No,36500
Electric,No,No,,Yes,2,low,Black,Black,Yes,31985
Gasoline,Yes,No,2.5,No,20,low,Other,Black,No,9999
Gasoline,No,No,2.5,Yes,1,verylow,Other,Black,No,36998
Gasoline,Yes,Yes,3,Yes,8,avg,Black,Other_Colored,No,40500
Gasoline,No,No,5,Yes,11,low,Silver,Black,No,17500
Gasoline,No,Yes,,Yes,4,verylow,Black,Black,No,69900
Gasoline,No,Yes,4.4,Yes,4,avg,Blue,Black,No,53000
Gasoline,Yes,No,2.5,No,10,avg,Gray,Black,No,30000
Gasoline,No,Yes,4,Yes,5,low,Black,Black,No,159998
Gasoline,No,No,2.5,Yes,4,avg,Blue,Black,Yes,22966
Gasoline,No,No,1.6,Yes,11,verylow,Black,Gray,No,9800
Gasoline,No,Yes,4,Yes,1,verylow,Black,Other_Colored,No,239995
Hybrid,No,Yes,3,Yes,1,low,Gray,Other_Colored,No,79998
Gasoline,No,No,3.8,Yes,4,above_expected,Black,Gray,No,37405
Gasoline,No,Yes,4.7,Yes,9,low,Black,Black,No,41900
Gasoline,No,Yes,2,Yes,4,avg,White,Black,No,39998
Gasoline,Yes,Yes,5.6,Yes,13,high,Gray,Beige,No,8500
Other,Yes,No,,Yes,8,high,Black,Black,No,18500
Gasoline,Yes,No,6.2,Yes,1,low,Black,Other_Colored,No,73900
Hybrid,No,Yes,2,Yes,1,low,Black,Black,No,47598
Gasoline,No,Yes,4.6,Yes,6,avg,White,Beige,No,38000
Gasoline,No,Yes,2,Yes,10,low,Other,Beige,No,10795
Gasoline,No,Yes,2,Yes,4,high,White,Black,No,32400
Gasoline,No,No,5.7,Yes,3,above_expected,Black,Black,No,34000
Gasoline,No,Yes,3,Yes,9,verylow,White,Other_Colored,No,53000
Electric,No,Yes,,Yes,2,avg,Red,Black,No,84500
Gasoline,No,Yes,2,Yes,6,above_expected,White,Beige,No,18000
Gasoline,No,No,2.5,No,19,low,Black,Other_Colored,No,19500
Gasoline,No,Yes,3,Yes,4,high,Blue,Black,No,57998
Gasoline,No,No,2,Yes,10,high,Other,Beige,No,11000
Gasoline,No,Yes,2,Yes,8,low,Silver,Black,No,21590
Gasoline,No,No,5,Yes,7,avg,Silver,Black,No,27500
Gasoline,Yes,Yes,3.5,Yes,15,verylow,Black,Black,No,18000
Gasoline,No,Yes,4.4,Yes,1,verylow,Black,Other_Colored,No,199998
Gasoline,No,No,1.6,Yes,5,above_expected,Black,Black,No,20818
Gasoline,Yes,No,3.5,Yes,6,avg,Black,Black,Yes,31853
Diesel,No,Yes,3,Yes,5,verylow,Gray,Black,No,45900
Gasoline,Yes,Yes,2,Yes,4,low,White,Beige,No,29500
Gasoline,Yes,Yes,5.2,Yes,9,low,White,Black,No,102000
Gasoline,No,Yes,2,Yes,6,verylow,Blue,Other_Colored,No,42800
Hybrid,No,No,3.4,Yes,2,low,Other,Other_Colored,No,75500
Gasoline,No,Yes,3,Yes,2,low,White,Black,No,52900
Gasoline,Yes,Yes,2,Yes,8,avg,White,Black,No,20000
Gasoline,No,Yes,5.2,No,2,verylow,Other,Other_Colored,Yes,288900
Gasoline,No,Yes,3,Yes,17,low,Black,Beige,No,8995
Gasoline,No,Yes,3,Yes,6,low,Gray,Black,No,50000
Diesel,No,No,3,Yes,3,low,Red,Black,No,97952
Gasoline,No,Yes,3,No,10,high,Blue,Black,No,17200
Gasoline,No,No,3.8,Yes,1,avg,Black,Gray,No,50998
Gasoline,No,No,6,Yes,16,avg,White,Gray,No,22000
Gasoline,No,No,2.5,Yes,4,avg,White,Black,No,27654
Gasoline,No,Yes,2,Yes,3,verylow,Blue,Black,Yes,41598
Gasoline,Yes,Yes,2,Yes,9,above_expected,Black,Black,No,14000
Gasoline,No,No,3.6,Yes,7,above_expected,Other,Other_Colored,No,20500
Gasoline,No,No,2.4,Yes,23,low,Red,Other_Colored,No,4495
Gasoline,No,No,2.5,Yes,2,high,White,Black,No,29800
Gasoline,No,Yes,4.4,Yes,6,low,Silver,Black,No,67000
Gasoline,Yes,No,5.7,Yes,13,high,Black,Gray,No,10500
Hybrid,Yes,No,2,Yes,9,avg,Blue,Black,No,10000
Hybrid,No,No,3.4,Yes,2,avg,Other,Black,No,71000
Gasoline,No,Yes,2,Yes,9,high,White,Black,No,17500
Other,Yes,No,5.4,Yes,15,high,White,Beige,No,9750
Electric,No,No,,Yes,1,verylow,Red,Black,Yes,46998
Diesel,No,Yes,3,Yes,7,above_expected,Black,Black,No,75000
Gasoline,No,Yes,4,Yes,5,low,White,Beige,No,95000
Gasoline,No,Yes,3,Yes,6,high,Black,Other_Colored,No,32000
Gasoline,Yes,Yes,1.8,Yes,26,low,Red,Other_Colored,No,5500
Gasoline,No,Yes,3,Yes,5,above_expected,Other,Beige,Yes,36340
Gasoline,No,Yes,4.4,Yes,10,verylow,Silver,Black,No,40999
Gasoline,No,No,2,Yes,3,low,White,Black,No,29798
Gasoline,No,Yes,3.4,Yes,1,verylow,Black,Black,No,120990
Gasoline,No,Yes,3.7,Yes,9,above_expected,Silver,Black,No,11500
